KKSBusher	KKSNVnpp	name	Unit
11YQS06CX002XQ01	12JAA21CX701XQ01	TOK DPZ06_level2	mkA
11YQS06CX003XQ01	12JAA21CX711XQ01	TOK DPZ06_level3	mkA
11YQS06CX004XQ01	12JAA21CX721XQ01	TOK DPZ06_level4	mkA
11YQS06CX005XQ01	12JAA21CX731XQ01	TOK DPZ06_level5	mkA
11YQS06CX006XQ01	12JAA21CX741XQ01	TOK DPZ06_level6	mkA
11YQS06CX007XQ01	12JAA21CX751XQ01	TOK DPZ06_level7	mkA
11YQS07CX001XQ01	12JAA21CX761XQ01	TOK DPZ07_level1	mkA
11YQS07CX002XQ01	12JAA22CX701XQ01	TOK DPZ07_level2	mkA
11YQS07CX003XQ01	12JAA23CX701XQ01	TOK DPZ07_level3	mkA
11YQS07CX004XQ01	12JAA31CX701XQ01	TOK DPZ07_level4	mkA
11YQS07CX005XQ01	12JAA31CX711XQ01	TOK DPZ07_level5	mkA
11YQS07CX006XQ01	12JAA31CX721XQ01	TOK DPZ07_level6	mkA
11YQS07CX007XQ01	12JAA31CX731XQ01	TOK DPZ07_level7	mkA
11YQS08CX001XQ01	12JAA31CX741XQ01	TOK DPZ08_level1	mkA
11YQS08CX002XQ01	12JAA31CX751XQ01	TOK DPZ08_level2	mkA
11YQS08CX003XQ01	12JAA31CX761XQ01	TOK DPZ08_level3	mkA
11YQS08CX004XQ01	12JAA32CX701XQ01	TOK DPZ08_level4	mkA
11YQS08CX005XQ01	12JAA33CX701XQ01	TOK DPZ08_level5	mkA
